Model,f2,f1,accuracy,precision,recall,tpr,fpr
Logistic Regression,0.8896017260573654,0.8700122713638724,0.9730097016025828,0.8392413524519581,0.9031678965711949,0.9031678965711949,0.01923034183316934
Decision Tree,0.8761482832290909,0.8424359085923545,0.9663245870284006,0.791684668123598,0.9001699949226186,0.9001699949226186,0.026325141327589723
Random Forest,0.9710983155402554,0.9389334322271157,0.9870694281177794,0.8898412909142934,0.9938044464281346,0.9938044464281346,0.013678859828921775
XGBoost,0.9702440325990462,0.9378744498153015,0.9868395979921225,0.8885029901772097,0.9931050958037465,0.9931050958037465,0.013856506222505342
Ensemble (Voting),0.970892164995421,0.9383185895705184,0.9869295330390886,0.8886592915892274,0.9939045462283843,0.9939045462283843,0.013845403130294157
Ensemble (Stacking),0.9706224957397932,0.93875944298716,0.9870394515994688,0.8900941336760017,0.9931050958037464,0.9931050958037464,0.01363444746007705
